01/11/15    10:41:58,9 days 09:45:00,0.0V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.2C
01/11/15    10:36:56,9 days 09:40:00,0.0V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.2C
01/11/15    10:31:55,9 days 09:35:00,0.0V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.2C
01/11/15    10:26:53,9 days 09:29:59,0.0V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.2C
01/11/15    10:21:52,9 days 09:25:00,0.0V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.2C
01/11/15    10:16:51,9 days 09:20:00,0.0V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.2C
01/11/15    10:11:50,9 days 09:15:00,0.0V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.3C
01/11/15    10:06:48,9 days 09:10:00,0.0V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.3C
01/11/15    10:01:47,9 days 09:05:00,0.3V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.3C
01/11/15    09:56:45,9 days 08:59:59,1.8V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.3C
01/11/15    09:51:44,9 days 08:54:59,4.6V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.3C
01/11/15    09:46:43,9 days 08:50:00,6.7V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.3C
01/11/15    09:41:42,9 days 08:45:00,9.5V,5.2V,13.1V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.3C
01/11/15    09:36:40,9 days 08:39:59,11.5V,5.2V,13.2V,13.1V,0.0A,0.0A,0.0A,-0.2A,,30.3C
01/11/15    09:31:39,9 days 08:35:00,12.6V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,30.3C
01/11/15    09:26:38,9 days 08:30:00,13.4V,5.2V,13.2V,13.2V,0.0A,0.0A,0.0A,-0.2A,,30.3C
