"Variable 1","Variable 2","Type","Method","Correlation","abs_corr"
"other_app","desired_app_phone","Numerical–Categorical","Correlation ratio (η)","0.06742071504406981","0.06742071504406981"
"other_app","mat_wall","Numerical–Categorical","Correlation ratio (η)","0.06742071504406981","0.06742071504406981"
"other_app","cooking_fuel_biomass","Numerical–Categorical","Correlation ratio (η)","0.06742071504406981","0.06742071504406981"
"phones","illum_flashlight","Numerical–Categorical","Correlation ratio (η)","0.06720076605673685","0.06720076605673685"
"light_bulb_2_time","mant_freq","Numerical–Categorical","Correlation ratio (η)","0.06700706579399296","0.06700706579399296"
"other_app","tech_problems_radio","Numerical–Categorical","Correlation ratio (η)","0.0667633592003817","0.0667633592003817"
"act_agriculture","sleep_time_before","Numerical–Numerical","Pearson","-0.06668313367115757","0.06668313367115757"
"sleep_time_before","illum_solarpv","Numerical–Categorical","Correlation ratio (η)","0.0666538506208599","0.0666538506208599"
"adults_mas_60","illum_solarpv","Numerical–Categorical","Correlation ratio (η)","0.06665385062085906","0.06665385062085906"
"monthly_income","desired_app_blender","Numerical–Categorical","Correlation ratio (η)","0.06652945007166962","0.06652945007166962"
"monthly_income","transport_car","Numerical–Categorical","Correlation ratio (η)","0.06652945007166962","0.06652945007166962"
"phone_1_time","summer_migration","Numerical–Categorical","Correlation ratio (η)","0.06647996836159017","0.06647996836159017"
"rooms","importance_night","Numerical–Categorical","Correlation ratio (η)","0.06625193998752221","0.06625193998752221"
"rooms","importance_allday","Numerical–Categorical","Correlation ratio (η)","0.06625193998752221","0.06625193998752221"
"wakeup_time_after","transport_car","Numerical–Categorical","Correlation ratio (η)","0.06624023772339167","0.06624023772339167"
"cooking_time_min_d","cooking_fuel_gas","Numerical–Categorical","Correlation ratio (η)","0.06618079057534733","0.06618079057534733"
"light_bulb_1_time","winter_migration","Numerical–Categorical","Correlation ratio (η)","0.06612663477660517","0.06612663477660517"
"other_app","illum_burner","Numerical–Categorical","Correlation ratio (η)","0.06610657529246598","0.06610657529246598"
