01/04/15    16:43:54,2 days 16:50:00,0.1V,0.3V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.7F,,,,,,,
01/04/15    16:38:54,2 days 16:45:00,0.1V,0.3V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.7F,,,,,,,
01/04/15    16:33:55,2 days 16:40:00,0.1V,0.3V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.7F,,,,,,,
01/04/15    16:28:55,2 days 16:35:00,0.1V,0.3V,12.7V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.7F,,,,,,,
01/04/15    16:23:56,2 days 16:30:00,0.1V,0.3V,12.8V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.7F,,,,,,,
01/04/15    16:18:57,2 days 16:25:00,0.1V,0.3V,12.8V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.7F,,,,,,,
01/04/15    16:13:57,2 days 16:20:00,0.1V,0.3V,12.8V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.7F,,,,,,,
01/04/15    16:08:58,2 days 16:15:00,0.1V,0.3V,12.8V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.7F,,,,,,,
01/04/15    16:03:58,2 days 16:10:00,0.1V,0.3V,12.8V,12.7V,0.0A,0.0A,0.0A,-0.2A,,75.7F,,,,,,,
01/04/15    15:58:59,2 days 16:05:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,75.7F,,,,,,,
01/04/15    15:53:59,2 days 16:00:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,75.7F,,,,,,,
01/04/15    15:49:00,2 days 15:55:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,75.7F,,,,,,,
01/04/15    15:44:00,2 days 15:49:59,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,75.9F,,,,,,,
01/04/15    15:39:01,2 days 15:45:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,75.9F,,,,,,,
01/04/15    15:34:01,2 days 15:39:59,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,75.9F,,,,,,,
01/04/15    15:29:02,2 days 15:35:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,75.9F,,,,,,,
01/04/15    15:24:02,2 days 15:29:59,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    15:19:03,2 days 15:25:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    15:14:04,2 days 15:20:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    15:09:04,2 days 15:14:59,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    15:04:05,2 days 15:10:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    14:59:05,2 days 15:04:59,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    14:54:06,2 days 15:00:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    14:49:07,2 days 14:55:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    14:44:07,2 days 14:50:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    14:39:08,2 days 14:45:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    14:34:09,2 days 14:40:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    14:29:09,2 days 14:35:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    14:24:10,2 days 14:30:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    14:19:10,2 days 14:25:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    14:14:11,2 days 14:20:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    14:09:11,2 days 14:15:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    14:04:12,2 days 14:10:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    13:59:12,2 days 14:05:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    13:54:13,2 days 14:00:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    13:49:13,2 days 13:55:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
01/04/15    13:44:14,2 days 13:50:00,0.1V,0.3V,12.8V,12.8V,0.0A,0.0A,0.0A,-0.2A,,76.1F,,,,,,,
